name,Country,Region,Municipality,latitude,longitude
Naples Municipal Airport,US,US-FL,Naples,27.7567667,-81.4639835
Phillips Army Air Field,US,US-MD,Aberdeen Proving Grounds(Aberdeen),39.5162234,-76.9382069
Alpena County Regional Airport,US,US-MI,Alpena,43.6211955,-84.6824346
Acadiana Regional Airport,US,US-LA,New Iberia,39.7837304,-100.4458825
Watertown International Airport,US,US-NY,Watertown,43.1561681,-75.8449946
Aspen-Pitkin Co/Sardy Field,US,US-CO,Aspen,38.7251776,-105.6077167
Astoria Regional Airport,US,US-OR,Astoria,43.9792797,-120.737257
Hartsfield Jackson Atlanta International Airport,US,US-GA,Atlanta,32.3293809,-83.1137366
Watertown Regional Airport,US,US-SD,Watertown,44.6471761,-100.348761
Augusta State Airport,US,US-ME,Augusta,45.709097,-68.8590201
Austin Bergstrom International Airport,US,US-TX,Austin,31.8160381,-99.5120986
Wausau Downtown Airport,US,US-WI,Wausau,44.4308975,-89.6884637
Asheville Regional Airport,US,US-NC,Asheville,35.6729639,-79.0392919
Wilkes Barre Scranton International Airport,US,US-PA,Wilkes-Barre/Scranton,40.9699889,-77.7278831
Chandler Field,US,US-MN,Alexandria,45.9896587,-94.6113288
Kalamazoo Battle Creek International Airport,US,US-MI,Kalamazoo,43.6211955,-84.6824346
Beale Air Force Base,US,US-CA,Marysville,36.7014631,-118.7559974
Barksdale Air Force Base,US,US-LA,Bossier City,39.7837304,-100.4458825
Westfield-Barnes Regional Airport,US,US-MA,Westfield/Springfield,42.3788774,-72.032366
Columbus Municipal Airport,US,US-IN,Columbus,43.9117351,-69.8079214
Curtis Field,US,US-TX,Brady,31.8160381,-99.5120986
Bryce Canyon Airport,US,US-UT,Bryce Canyon,39.4225192,-111.7143584
Baudette International Airport,US,US-MN,Baudette,45.9896587,-94.6113288
Bradley International Airport,US,US-CT,Hartford,41.6500201,-72.7342163
Igor I Sikorsky Memorial Airport,US,US-CT,Bridgeport,41.6500201,-72.7342163
Laurence G Hanscom Field,US,US-MA,Bedford,42.3788774,-72.032366
Bradford Regional Airport,US,US-PA,Bradford,40.9699889,-77.7278831
Western Neb. Rgnl/William B. Heilig Airport,US,US-NE,Scottsbluff,41.7370229,-99.5873816
Boeing Field King County International Airport,US,US-WA,Seattle,47.2868352,-120.2126139
Meadows Field,US,US-CA,Bakersfield,36.7014631,-118.7559974
Mobile Downtown Airport,US,US-AL,Mobile,33.2588817,-86.8295337
Greater Binghamton/Edwin A Link field,US,US-NY,Binghamton,43.1561681,-75.8449946
Bangor International Airport,US,US-ME,Bangor,45.709097,-68.8590201
Hancock County-Bar Harbor Airport,US,US-ME,Bar Harbor,45.709097,-68.8590201
Birmingham-Shuttlesworth International Airport,US,US-AL,Birmingham,33.2588817,-86.8295337
Biggs Army Air Field (Fort Bliss),US,US-TX,Fort Bliss/El Paso,31.8160381,-99.5120986
Eastern Sierra Regional Airport,US,US-CA,Bishop,36.7014631,-118.7559974
Billings Logan International Airport,US,US-MT,Billings,47.3752671,-109.6387579
Bismarck Municipal Airport,US,US-ND,Bismarck,47.6201461,-100.540737
Keesler Air Force Base,US,US-MS,Biloxi,32.9715645,-89.7348497
Rocky Mountain Metropolitan Airport,US,US-CO,Denver,38.7251776,-105.6077167
Bemidji Regional Airport,US,US-MN,Bemidji,45.9896587,-94.6113288
Baker City Municipal Airport,US,US-OR,Baker City,43.9792797,-120.737257
Buckley Air Force Base,US,US-CO,Aurora,38.7251776,-105.6077167
Burke Lakefront Airport,US,US-OH,Cleveland,40.2253569,-82.6881395
Raleigh County Memorial Airport,US,US-WV,Beckley,38.4758406,-80.8408415
Mercer County Airport,US,US-WV,Bluefield,38.4758406,-80.8408415
Blythe Airport,US,US-CA,Blythe,36.7014631,-118.7559974
Bellingham International Airport,US,US-WA,Bellingham,47.2868352,-120.2126139
Scott AFB/Midamerica Airport,US,US-IL,Belleville,39.7837304,-100.4458825
Monroe County Airport,US,US-IN,Bloomington,43.9117351,-69.8079214
Central Illinois Regional Airport at Bloomington-Normal,US,US-IL,Bloomington/Normal,39.7837304,-100.4458825
Nashville International Airport,US,US-TN,Nashville,35.7730076,-86.2820081
Burns Municipal Airport,US,US-OR,Burns,43.9792797,-120.737257
Boise Air Terminal/Gowen Field,US,US-ID,Boise,43.6447642,-114.0154071
General Edward Lawrence Logan International Airport,US,US-MA,Boston,42.3788774,-72.032366
Miley Memorial Field,US,US-WY,Big Piney,35.2667067,-89.1613591
Ozark Regional Airport,US,US-AR,Mountain Home,35.2048883,-92.4479108
Southeast Texas Regional Airport,US,US-TX,Beaumont/Port Arthur,31.8160381,-99.5120986
Brunswick Golden Isles Airport,US,US-GA,Brunswick,32.3293809,-83.1137366
Brainerd Lakes Regional Airport,US,US-MN,Brainerd,45.9896587,-94.6113288
Southeast Iowa Regional Airport,US,US-IA,Burlington,63.2125326,63.6201068
Brownsville South Padre Island International Airport,US,US-TX,Brownsville,31.8160381,-99.5120986
W K Kellogg Airport,US,US-MI,Battle Creek,43.6211955,-84.6824346
Bert Mooney Airport,US,US-MT,Butte,47.3752671,-109.6387579
Baton Rouge Metropolitan Airport,US,US-LA,Baton Rouge,39.7837304,-100.4458825
Burlington International Airport,US,US-VT,Burlington,44.5990718,-72.5002608
Buffalo Niagara International Airport,US,US-NY,Buffalo,43.1561681,-75.8449946
Bob Hope Airport,US,US-CA,Burbank,36.7014631,-118.7559974
Beaver County Airport,US,US-PA,Beaver Falls,40.9699889,-77.7278831
Beverly Municipal Airport,US,US-MA,Beverly,42.3788774,-72.032366
Bowling Green Warren County Regional Airport,US,US-KY,Bowling Green,37.5726028,-85.1551411
Baltimore/Washington International Thurgood Marshall Airport,US,US-MD,Baltimore,39.5162234,-76.9382069
Arkansas International Airport,US,US-AR,Blytheville,35.2048883,-92.4479108
Burley Municipal Airport,US,US-ID,Burley,43.6447642,-114.0154071
Bicycle Lake Army Air Field,US,US-CA,Fort Irwin/Barstow,36.7014631,-118.7559974
Gallatin Field,US,US-MT,Bozeman,47.3752671,-109.6387579
Columbia Metropolitan Airport,US,US-SC,Columbia,33.6874388,-80.4363743
Akron Canton Regional Airport,US,US-OH,Akron,40.2253569,-82.6881395
Caribou Municipal Airport,US,US-ME,Caribou,45.709097,-68.8590201
Columbus Air Force Base,US,US-MS,Columbus,32.9715645,-89.7348497
Northeast Iowa Regional Airport,US,US-IA,Charles City,63.2125326,63.6201068
Cedar City Regional Airport,US,US-UT,Cedar City,39.4225192,-111.7143584
Chadron Municipal Airport,US,US-NE,Chadron,41.7370229,-99.5873816
Childress Municipal Airport,US,US-TX,Childress,31.8160381,-99.5120986
Jack Mc Namara Field Airport,US,US-CA,Crescent City,36.7014631,-118.7559974
Westover ARB/Metropolitan Airport,US,US-MA,Springfield/Chicopee,42.3788774,-72.032366
Bob Sikes Airport,US,US-FL,Crestview,27.7567667,-81.4639835
Cuyahoga County Airport,US,US-OH,Cleveland,40.2253569,-82.6881395
Cape Girardeau Regional Airport,US,US-MO,Cape Girardeau,38.7604815,-92.5617875
Lovell Field,US,US-TN,Chattanooga,35.7730076,-86.2820081
Charlottesville Albemarle Airport,US,US-VA,Charlottesville,37.1232245,-78.4927721
Charleston Air Force Base-International Airport,US,US-SC,Charleston,33.6874388,-80.4363743
The Eastern Iowa Airport,US,US-IA,Cedar Rapids,63.2125326,63.6201068
Chippewa County International Airport,US,US-MI,Sault Ste Marie,43.6211955,-84.6824346
North Central West Virginia Airport,US,US-WV,Clarksburg,38.4758406,-80.8408415
Cleveland Hopkins International Airport,US,US-OH,Cleveland,40.2253569,-82.6881395
Easterwood Field,US,US-TX,College Station,31.8160381,-99.5120986
William R Fairchild International Airport,US,US-WA,Port Angeles,47.2868352,-120.2126139
Charlotte Douglas International Airport,US,US-NC,Charlotte,35.6729639,-79.0392919
John Glenn Columbus International Airport,US,US-OH,Columbus,40.2253569,-82.6881395
University of Illinois Willard Airport,US,US-IL,Champaign/Urbana,39.7837304,-100.4458825
Houghton County Memorial Airport,US,US-MI,Hancock,43.6211955,-84.6824346
Cavern City Air Terminal,US,US-NM,Carlsbad,34.5708167,-105.993007
Chanute Martin Johnson Airport,US,US-KS,Chanute,38.27312,-98.5821872
Yellowstone Regional Airport,US,US-WY,Cody,35.2667067,-89.1613591
Coeur D'Alene - Pappy Boyington Field,US,US-ID,Coeur d'Alene,43.6447642,-114.0154071
Patrick Air Force Base,US,US-FL,Cocoa Beach,27.7567667,-81.4639835
Concord Municipal Airport,US,US-NH,Concord,43.4849133,-71.6553992
City of Colorado Springs Municipal Airport,US,US-CO,Colorado Springs,38.7251776,-105.6077167
Columbia Regional Airport,US,US-MO,Columbia,38.7604815,-92.5617875
Casper-Natrona County International Airport,US,US-WY,Casper,35.2667067,-89.1613591
Grand Strand Airport,US,US-SC,North Myrtle Beach,33.6874388,-80.4363743
Jacksonville Executive at Craig Airport,US,US-FL,Jacksonville,27.7567667,-81.4639835
Corpus Christi International Airport,US,US-TX,Corpus Christi,31.8160381,-99.5120986
Mc Clellan-Palomar Airport,US,US-CA,Carlsbad,36.7014631,-118.7559974
Yeager Airport,US,US-WV,Charleston,38.4758406,-80.8408415
Columbus Metropolitan Airport,US,US-GA,Columbus,32.3293809,-83.1137366
Crossville Memorial Whitson Field,US,US-TN,Crossville,35.7730076,-86.2820081
Cut Bank International Airport,US,US-MT,Cut Bank,47.3752671,-109.6387579
Jim Hamilton L.B. Owens Airport,US,US-SC,Columbia,33.6874388,-80.4363743
Cincinnati Northern Kentucky International Airport,US,US-KY,Cincinnati,37.5726028,-85.1551411
Corvallis Municipal Airport,US,US-OR,Corvallis,43.9792797,-120.737257
Cannon Air Force Base,US,US-NM,Clovis,34.5708167,-105.993007
Central Wisconsin Airport,US,US-WI,Mosinee,44.4308975,-89.6884637
Conroe-North Houston Regional Airport,US,US-TX,Houston,31.8160381,-99.5120986
Cheyenne Regional Jerry Olson Field,US,US-WY,Cheyenne,35.2667067,-89.1613591
Kochi Airport (Ã©Â«Â˜Ã§ÂŸÂ¥Ã§Â©ÂºÃ¦Â¸Â¯),JP,JP-39,Nankoku,34.0739291,131.5669164
Davison Army Air Field,US,US-VA,Fort Belvoir,37.1232245,-78.4927721
Daytona Beach International Airport,US,US-FL,Daytona Beach,27.7567667,-81.4639835
Barstow Daggett Airport,US,US-CA,Daggett,36.7014631,-118.7559974
Dallas Love Field,US,US-TX,Dallas,31.8160381,-99.5120986
Danville Regional Airport,US,US-VA,Danville,37.1232245,-78.4927721
James M Cox Dayton International Airport,US,US-OH,Dayton,40.2253569,-82.6881395
Dubuque Regional Airport,US,US-IA,Dubuque,63.2125326,63.6201068
Ronald Reagan Washington National Airport,US,US-DC,Washington,39.7940527,-100.472769
Dodge City Regional Airport,US,US-KS,Dodge City,38.27312,-98.5821872
Decatur Airport,US,US-IL,Decatur,39.7837304,-100.4458825
Denver International Airport,US,US-CO,Denver,38.7251776,-105.6077167
Coleman A. Young Municipal Airport,US,US-MI,Detroit,43.6211955,-84.6824346
Dallas Fort Worth International Airport,US,US-TX,Dallas-Fort Worth,31.8160381,-99.5120986
Dothan Regional Airport,US,US-AL,Dothan,33.2588817,-86.8295337
Dalhart Municipal Airport,US,US-TX,Dalhart,31.8160381,-99.5120986
Dickinson Theodore Roosevelt Regional Airport,US,US-ND,Dickinson,47.6201461,-100.540737
DLF Airport,US,US-TX,Del Rio,31.8160381,-99.5120986
Duluth International Airport,US,US-MN,Duluth,45.9896587,-94.6113288
Columbia Gorge Regional the Dalles Municipal Airport,US,US-OR,The Dalles,43.9792797,-120.737257
Davis Monthan Air Force Base,US,US-AZ,Tucson,34.395342,-111.7632755
Deming Municipal Airport,US,US-NM,Deming,34.5708167,-105.993007
Daniel Field,US,US-GA,Augusta,32.3293809,-83.1137366
Dover Air Force Base,US,US-DE,Dover,38.6920451,-75.4013315
Dupage Airport,US,US-IL,Chicago/West Chicago,39.7837304,-100.4458825
Desert Rock Airport,US,US-NV,Mercury,39.5158825,-116.8537227
Beauregard Regional Airport,US,US-LA,De Ridder,39.7837304,-100.4458825
Del Rio International Airport,US,US-TX,Del Rio,31.8160381,-99.5120986
Des Moines International Airport,US,US-IA,Des Moines,63.2125326,63.6201068
Detroit Metropolitan Wayne County Airport,US,US-MI,Detroit,43.6211955,-84.6824346
Bisbee Douglas International Airport,US,US-AZ,Douglas Bisbee,34.395342,-111.7632755
DuBois Regional Airport,US,US-PA,Dubois,40.9699889,-77.7278831
Dyess Air Force Base,US,US-TX,Abilene,31.8160381,-99.5120986
Laikipia Air Base,KE,KE-700,Nanyuki,47.75719295,-122.257787151981
Pangborn Memorial Airport,US,US-WA,Wenatchee,47.2868352,-120.2126139
Chippewa Valley Regional Airport,US,US-WI,Eau Claire,44.4308975,-89.6884637
Elizabeth City Regional Airport & Coast Guard Air Station,US,US-NC,Elizabeth City,35.6729639,-79.0392919
Northwest Florida Beaches International Airport,US,US-FL,Panama City Beach,27.7567667,-81.4639835
Edwards Air Force Base,US,US-CA,Edwards,36.7014631,-118.7559974
Needles Airport,US,US-CA,Needles,36.7014631,-118.7559974
Dillant Hopkins Airport,US,US-NH,Keene,43.4849133,-71.6553992
Shelby County Airport,US,US-AL,Alabaster,33.2588817,-86.8295337
Ellington Airport,US,US-TX,Houston,31.8160381,-99.5120986
Eagle County Regional Airport,US,US-CO,Eagle,38.7251776,-105.6077167
Duke Field,US,US-FL,Crestview,27.7567667,-81.4639835
Murray Field,US,US-CA,Eureka,36.7014631,-118.7559974
Elkins-Randolph Co-Jennings Randolph Field,US,US-WV,Elkins,38.4758406,-80.8408415
Elko Regional Airport,US,US-NV,Elko,39.5158825,-116.8537227
South Arkansas Regional At Goodwin Field,US,US-AR,El Dorado,35.2048883,-92.4479108
Elmira Corning Regional Airport,US,US-NY,Elmira/Corning,43.1561681,-75.8449946
Ely Municipal Airport,US,US-MN,Ely,45.9896587,-94.6113288
El Paso International Airport,US,US-TX,El Paso,31.8160381,-99.5120986
Ely Airport Yelland Field,US,US-NV,Ely,39.5158825,-116.8537227
Vance Air Force Base,US,US-OK,Enid,34.9550817,-97.2684063
Wendover Airport,US,US-UT,Wendover,39.4225192,-111.7143584
Kenosha Regional Airport,US,US-WI,Kenosha,44.4308975,-89.6884637
Erie International Tom Ridge Field,US,US-PA,Erie,40.9699889,-77.7278831
Esler Regional Airport,US,US-LA,Alexandria,39.7837304,-100.4458825
Mahlon Sweet Field,US,US-OR,Eugene,43.9792797,-120.737257
Evansville Regional Airport,US,US-IN,Evansville,43.9117351,-69.8079214
Evanston-Uinta County Airport-Burns Field,US,US-WY,Evanston,35.2667067,-89.1613591
New Bedford Regional Airport,US,US-MA,New Bedford,42.3788774,-72.032366
Coastal Carolina Regional Airport,US,US-NC,New Bern,35.6729639,-79.0392919
Newark Liberty International Airport,US,US-NJ,Newark,40.0757384,-74.4041622
Key West International Airport,US,US-FL,Key West,27.7567667,-81.4639835
Felker Army Air Field,US,US-VA,Fort Eustis,37.1232245,-78.4927721
Hector International Airport,US,US-ND,Fargo,47.6201461,-100.540737
Fresno Yosemite International Airport,US,US-CA,Fresno,36.7014631,-118.7559974
Fayetteville Regional Grannis Field,US,US-NC,Fayetteville,35.6729639,-79.0392919
Simmons Army Air Field,US,US-NC,Fort Bragg,35.6729639,-79.0392919
Butts AAF (Fort Carson) Air Field,US,US-CO,Fort Carson,38.7251776,-105.6077167
Findlay Airport,US,US-OH,Findlay,40.2253569,-82.6881395
Wright-Patterson Air Force Base,US,US-OH,Dayton,40.2253569,-82.6881395
Sierra Vista Municipal Libby Army Air Field,US,US-AZ,Fort Huachuca Sierra Vista,34.395342,-111.7632755
Venango Regional Airport,US,US-PA,Franklin,40.9699889,-77.7278831
Flagstaff Pulliam Airport,US,US-AZ,Flagstaff,34.395342,-111.7632755
Fort Lauderdale Hollywood International Airport,US,US-FL,Fort Lauderdale,27.7567667,-81.4639835
Florence Regional Airport,US,US-SC,Florence,33.6874388,-80.4363743
Tipton Airport,US,US-MD,Fort Meade(Odenton),39.5162234,-76.9382069
Four Corners Regional Airport,US,US-NM,Farmington,34.5708167,-105.993007
Page Field,US,US-FL,Fort Myers,27.7567667,-81.4639835
Bishop International Airport,US,US-MI,Flint,43.6211955,-84.6824346
Fort Dodge Regional Airport,US,US-IA,Fort Dodge,63.2125326,63.6201068
Topeka Regional Airport - Forbes Field,US,US-KS,Topeka,38.27312,-98.5821872
St Lucie County International Airport,US,US-FL,Fort Pierce,27.7567667,-81.4639835
Republic Airport,US,US-NY,Farmingdale,43.1561681,-75.8449946
Marshall Army Air Field,US,US-KS,Fort Riley(Junction City),38.27312,-98.5821872
Joe Foss Field Airport,US,US-SD,Sioux Falls,44.6471761,-100.348761
Henry Post Army Air Field (Fort Sill),US,US-OK,Fort Sill,34.9550817,-97.2684063
Fort Smith Regional Airport,US,US-AR,Fort Smith,35.2048883,-92.4479108
Fort Stockton Pecos County Airport,US,US-TX,Fort Stockton,31.8160381,-99.5120986
Godman Army Air Field,US,US-KY,Fort Knox,37.5726028,-85.1551411
Fort Worth Meacham International Airport,US,US-TX,Fort Worth,31.8160381,-99.5120986
Fulton County Airport Brown Field,US,US-GA,Atlanta,32.3293809,-83.1137366
Fort Wayne International Airport,US,US-IN,Fort Wayne,43.9117351,-69.8079214
Fort Lauderdale Executive Airport,US,US-FL,Fort Lauderdale,27.7567667,-81.4639835
Drake Field,US,US-AR,Fayetteville,35.2048883,-92.4479108
Jalal-Abad Airport,KG,KG-J,Jalal-Abad,43.0572303,74.4740439
Gillette Campbell County Airport,US,US-WY,Gillette,35.2667067,-89.1613591
Garden City Regional Airport,US,US-KS,Garden City,38.27312,-98.5821872
Grand Canyon National Park Airport,US,US-AZ,Grand Canyon,34.395342,-111.7632755
Dawson Community Airport,US,US-MT,Glendive,47.3752671,-109.6387579
Spokane International Airport,US,US-WA,Spokane,47.2868352,-120.2126139
Grand Forks International Airport,US,US-ND,Grand Forks,47.6201461,-100.540737
Floyd Bennett Memorial Airport,US,US-NY,Glens Falls,43.1561681,-75.8449946
East Texas Regional Airport,US,US-TX,Longview,31.8160381,-99.5120986
Wokal Field/Glasgow-Valley County Airport,US,US-MT,Glasgow,47.3752671,-109.6387579
Grand Junction Regional Airport,US,US-CO,Grand Junction,38.7251776,-105.6077167
Renner Field-Goodland Municipal Airport,US,US-KS,Goodland,38.27312,-98.5821872
Mid Delta Regional Airport,US,US-MS,Greenville,32.9715645,-89.7348497
Scholes International At Galveston Airport,US,US-TX,Galveston,31.8160381,-99.5120986
Greenville Downtown Airport,US,US-SC,Greenville,33.6874388,-80.4363743
Gainesville Regional Airport,US,US-FL,Gainesville,27.7567667,-81.4639835
Groton New London Airport,US,US-CT,Groton (New London),41.6500201,-72.7342163
Glacier Park International Airport,US,US-MT,Kalispell,47.3752671,-109.6387579
Gulfport Biloxi International Airport,US,US-MS,Gulfport,32.9715645,-89.7348497
Austin Straubel International Airport,US,US-WI,Green Bay,44.4308975,-89.6884637
Gray Army Air Field,US,US-WA,Fort Lewis/Tacoma,47.2868352,-120.2126139
Central Nebraska Regional Airport,US,US-NE,Grand Island,41.7370229,-99.5873816
Robert Gray  Army Air Field Airport,US,US-TX,Fort Hood/Killeen,31.8160381,-99.5120986
Gerald R. Ford International Airport,US,US-MI,Grand Rapids,43.6211955,-84.6824346
Seymour Johnson Air Force Base,US,US-NC,Goldsboro,35.6729639,-79.0392919
Piedmont Triad International Airport,US,US-NC,Greensboro,35.6729639,-79.0392919
Greenville Spartanburg International Airport,US,US-SC,Greenville,33.6874388,-80.4363743
Wheeler Sack Army Air Field,US,US-NY,Fort Drum,43.1561681,-75.8449946
Great Falls International Airport,US,US-MT,Great Falls,47.3752671,-109.6387579
Golden Triangle Regional Airport,US,US-MS,Columbus/W Point/Starkville,32.9715645,-89.7348497
Gallup Municipal Airport,US,US-NM,Gallup,34.5708167,-105.993007
Grissom Air Reserve Base,US,US-IN,Peru,43.9117351,-69.8079214
Guymon Municipal Airport,US,US-OK,Guymon,34.9550817,-97.2684063
GreenwoodÃ¢Â€Â“Leflore Airport,US,US-MS,Greenwood,32.9715645,-89.7348497
Gary Chicago International Airport,US,US-IN,Gary,43.9117351,-69.8079214
Hattiesburg Bobby L Chain Municipal Airport,US,US-MS,Hattiesburg,32.9715645,-89.7348497
Hobart Regional Airport,US,US-OK,Hobart,34.9550817,-97.2684063
Hartford Brainard Airport,US,US-CT,Hartford,41.6500201,-72.7342163
Hagerstown Regional Richard A Henson Field,US,US-MD,Hagerstown,39.5162234,-76.9382069
Jack Northrop Field Hawthorne Municipal Airport,US,US-CA,Hawthorne,36.7014631,-118.7559974
Range Regional Airport,US,US-MN,Hibbing,45.9896587,-94.6113288
Hill Air Force Base,US,US-UT,Ogden,39.4225192,-111.7143584
Portland Hillsboro Airport,US,US-OR,Portland,43.9792797,-120.737257
Hickory Regional Airport,US,US-NC,Hickory,35.6729639,-79.0392919
Wheeling Ohio County Airport,US,US-WV,Wheeling,38.4758406,-80.8408415
Helena Regional Airport,US,US-MT,Helena,47.3752671,-109.6387579
Hood Army Air Field,US,US-TX,Fort Hood(Killeen),31.8160381,-99.5120986
Holloman Air Force Base,US,US-NM,Alamogordo,34.5708167,-105.993007
Lea County Regional Airport,US,US-NM,Hobbs,34.5708167,-105.993007
Huron Regional Airport,US,US-SD,Huron,44.6471761,-100.348761
Campbell AAF (Fort Campbell) Air Field,US,US-KY,Fort Campbell/Hopkinsville,37.5726028,-85.1551411
Memorial Field,US,US-AR,Hot Springs,35.2048883,-92.4479108
William P Hobby Airport,US,US-TX,Houston,31.8160381,-99.5120986
Westchester County Airport,US,US-NY,White Plains,43.1561681,-75.8449946
Bowerman Airport,US,US-WA,Hoquiam,47.2868352,-120.2126139
Valley International Airport,US,US-TX,Harlingen,31.8160381,-99.5120986
Boone County Airport,US,US-AR,Harrison,35.2048883,-92.4479108
Hurlburt Field,US,US-FL,Mary Esther,27.7567667,-81.4639835
Homestead ARB Airport,US,US-FL,Homestead,27.7567667,-81.4639835
Huntsville International Carl T Jones Field,US,US-AL,Huntsville,33.2588817,-86.8295337
Tri-State/Milton J. Ferguson Field,US,US-WV,Huntington,38.4758406,-80.8408415
Redstone Army Air Field,US,US-AL,Redstone Arsnl Huntsville,33.2588817,-86.8295337
"Terre Haute Regional Airport, Hulman Field",US,US-IN,Terre Haute,43.9117351,-69.8079214
Houlton International Airport,US,US-ME,Houlton,45.709097,-68.8590201
Hutchinson Municipal Airport,US,US-KS,Hutchinson,38.27312,-98.5821872
Tweed New Haven Airport,US,US-CT,New Haven,41.6500201,-72.7342163
Havre City County Airport,US,US-MT,Havre,47.3752671,-109.6387579
Barnstable Municipal Boardman Polando Field,US,US-MA,Hyannis,42.3788774,-72.032366
San Marcos Regional Airport,US,US-TX,San Marcos,31.8160381,-99.5120986
Sawyer County Airport,US,US-WI,Hayward,44.4308975,-89.6884637
Hays Regional Airport,US,US-KS,Hays,38.27312,-98.5821872
Mc Connell Air Force Base,US,US-KS,Wichita,38.27312,-98.5821872
Washington Dulles International Airport,US,US-DC,Washington,39.7940527,-100.472769
Niagara Falls International Airport,US,US-NY,Niagara Falls,43.1561681,-75.8449946
George Bush Intercontinental Houston Airport,US,US-TX,Houston,31.8160381,-99.5120986
Wichita Eisenhower National Airport,US,US-KS,Wichita,38.27312,-98.5821872
Idaho Falls Regional Airport,US,US-ID,Idaho Falls,43.6447642,-114.0154071
Greater Kankakee Airport,US,US-IL,Kankakee,39.7837304,-100.4458825
New Castle Airport,US,US-DE,Wilmington,38.6920451,-75.4013315
Wilmington International Airport,US,US-NC,Wilmington,35.6729639,-79.0392919
Wilmington Airpark,US,US-OH,Wilmington,40.2253569,-82.6881395
Indianapolis International Airport,US,US-IN,Indianapolis,43.9117351,-69.8079214
Winkler County Airport,US,US-TX,Wink,31.8160381,-99.5120986
Falls International Airport,US,US-MN,International Falls,45.9896587,-94.6113288
Smith Reynolds Airport,US,US-NC,Winston Salem,35.6729639,-79.0392919
Winslow Lindbergh Regional Airport,US,US-AZ,Winslow,34.395342,-111.7632755
Imperial County Airport,US,US-CA,Imperial,36.7014631,-118.7559974
Williamsport Regional Airport,US,US-PA,Williamsport,40.9699889,-77.7278831
Kirksville Regional Airport,US,US-MO,Kirksville,38.7604815,-92.5617875
Kissimmee Gateway Airport,US,US-FL,Orlando,27.7567667,-81.4639835
Sloulin Field International Airport,US,US-ND,Williston,47.6201461,-100.540737
Kinston Regional Jetport At Stallings Field,US,US-NC,Kinston,35.6729639,-79.0392919
Long Island Mac Arthur Airport,US,US-NY,Islip,43.1561681,-75.8449946
Ithaca Tompkins Regional Airport,US,US-NY,Ithaca,43.1561681,-75.8449946
Phoenix-Mesa-Gateway Airport,US,US-AZ,Phoenix,34.395342,-111.7632755
Jackson Hole Airport,US,US-WY,Jackson,35.2667067,-89.1613591
Jackson-Medgar Wiley Evers International Airport,US,US-MS,Jackson,32.9715645,-89.7348497
Jacksonville International Airport,US,US-FL,Jacksonville,27.7567667,-81.4639835
Jonesboro Municipal Airport,US,US-AR,Jonesboro,35.2048883,-92.4479108
Kimble County Airport,US,US-TX,Junction,31.8160381,-99.5120986
John F Kennedy International Airport,US,US-NY,New York,43.1561681,-75.8449946
Chautauqua County-Jamestown Airport,US,US-NY,Jamestown,43.1561681,-75.8449946
Julian Carroll Airport,US,US-KY,Jackson,37.5726028,-85.1551411
Joplin Regional Airport,US,US-MO,Joplin,38.7604815,-92.5617875
Jamestown Regional Airport,US,US-ND,Jamestown,47.6201461,-100.540737
John Murtha Johnstown Cambria County Airport,US,US-PA,Johnstown,40.9699889,-77.7278831
Jackson County Reynolds Field,US,US-MI,Jackson,43.6211955,-84.6824346
Southwest Washington Regional Airport,US,US-WA,Kelso,47.2868352,-120.2126139
Purdue University Airport,US,US-IN,Lafayette,43.9117351,-69.8079214
Lakeland Linder International Airport,US,US-FL,Lakeland,27.7567667,-81.4639835
Capital City Airport,US,US-MI,Lansing,43.6211955,-84.6824346
Laramie Regional Airport,US,US-WY,Laramie,35.2667067,-89.1613591
McCarran International Airport,US,US-NV,Las Vegas,39.5158825,-116.8537227
Lawton Fort Sill Regional Airport,US,US-OK,Lawton,34.9550817,-97.2684063
Los Angeles International Airport,US,US-CA,Los Angeles,36.7014631,-118.7559974
Lubbock Preston Smith International Airport,US,US-TX,Lubbock,31.8160381,-99.5120986
Arnold Palmer Regional Airport,US,US-PA,Latrobe,40.9699889,-77.7278831
North Platte Regional Airport Lee Bird Field,US,US-NE,North Platte,41.7370229,-99.5873816
Liberal Mid-America Regional Airport,US,US-KS,Liberal,38.27312,-98.5821872
Lumberton Regional Airport,US,US-NC,Lumberton,35.6729639,-79.0392919
Texas Gulf Coast Regional Airport,US,US-TX,Angleton/Lake Jackson,31.8160381,-99.5120986
Lake Charles Regional Airport,US,US-LA,Lake Charles,39.7837304,-100.4458825
Rickenbacker International Airport,US,US-OH,Columbus,40.2253569,-82.6881395
Lebanon Municipal Airport,US,US-NH,Lebanon,43.4849133,-71.6553992
Leesburg International Airport,US,US-FL,Leesburg,27.7567667,-81.4639835
Blue Grass Airport,US,US-KY,Lexington,37.5726028,-85.1551411
Langley Air Force Base,US,US-VA,Hampton,37.1232245,-78.4927721
Angelina County Airport,US,US-TX,Lufkin,31.8160381,-99.5120986
Lafayette Regional Airport,US,US-LA,Lafayette,39.7837304,-100.4458825
La Guardia Airport,US,US-NY,New York,43.1561681,-75.8449946
Long Beach /Daugherty Field/ Airport,US,US-CA,Long Beach,36.7014631,-118.7559974
Logan-Cache Airport,US,US-UT,Logan,39.4225192,-111.7143584
Bill & Hillary Clinton National Airport/Adams Field,US,US-AR,Little Rock,35.2048883,-92.4479108
Monticello Municipal Ellis Field,US,US-AR,Monticello,35.2048883,-92.4479108
